,0,1
181,arrested,0.0
182,captionstitles,0.0
183,billheadingtable,0.0
184,prefiled,0.0
185,do,0.0
186,all,0.0
187,each,0.0
188,duty,0.0
189,thirty,0.0
190,described,0.0
191,than,0.0
192,creating,0.0
193,moving,0.0
194,session,0.0
195,lives,0.0
196,these,0.0
197,honest,0.0
198,observed,0.0
199,liable,0.0
200,displays,0.0
201,accountability,0.0
202,leader,0.0
203,read,0.0
204,danger,0.0
205,of,0.0
206,where,0.0
207,be,0.0
208,retaking,0.0
209,aiding,0.0
210,vehicle,0.0
211,more,0.0
212,not,0.0
213,extreme,0.0
214,were,0.0
215,center,0.0
216,themselves,0.0
217,place,0.0
218,efforts,0.0
219,address,0.0
220,house,0.0
221,â,0.0
222,a,0.0
223,following,0.0
224,mean,0.0
225,committee,0.0
226,guiding,0.0
227,safety,0.0
228,end,0.0
229,adopting,0.0
230,appeared,0.0
231,who,0.0
232,would,0.0
233,fairness,0.0
234,4,0.0
235,specific,0.0
236,such,0.0
237,are,0.0
238,sawyer,0.0
239,serve,0.0
240,against,0.0
241,believed,0.0
242,deadly,0.0
243,decisions,0.0
244,believes,0.0
245,final,0.0
246,requirements,0.0
247,considering,0.0
248,day,0.0
249,has,0.0
250,acknowledges,0.0
251,forum,0.0
252,give,0.0
253,quickly,0.0
254,threatening,0.0
255,was,0.0
256,its,0.0
257,riot,0.0
258,justified,0.0
259,cases,0.0
260,unjustified,0.0
261,beginningsection,0.0
262,sponsors,0.0
263,without,0.0
264,people,0.0
265,restrictive,0.0
266,right,0.0
267,placed,0.0
268,aid,0.0
269,jail,0.0
270,warning,0.0
271,communities,0.0
272,protects,0.0
273,county,0.0
274,with,0.0
275,in,0.0
276,holding,0.0
277,if,0.0
278,actually,0.0
279,makes,0.0
280,legislature,0.0
281,frame,0.0
282,used,0.0
283,among,0.0
284,enacted,0.0
285,last,0.0
286,task,0.0
287,language,0.0
288,by,0.0
289,available,0.0
290,probable,0.0
291,reasonably,0.0
292,at,0.0
293,public,0.0
294,being,0.0
295,uses,0.0
296,emphasis,0.0
297,inappropriate,0.0
298,perspective,0.0
299,c,0.0
300,subsection,0.0
301,alternative,0.0
302,between,0.0
303,scene,0.0
304,community,0.0
305,federal,0.0
306,committing,0.0
307,permissible,0.0
308,peace,0.0
309,santos,0.0
310,w,0.0
311,accountable,0.0
312,2,0.0
313,criminally,0.0
314,revises,0.0
315,there,0.0
316,use,0.0
317,ii,0.0
318,iii,0.0
319,considered,0.0
320,weapon,0.0
321,century,0.0
322,that,0.0
323,participant,0.0
324,imminent,0.0
325,pertaining,0.0
326,understanding,0.0
327,damages,0.0
328,example,0.0
329,nationally,0.0
330,been,0.0
331,sanctity,0.0
332,armed,0.0
333,will,0.0
334,futile,0.0
335,circumstance,0.0
336,sometimes,0.0
337,acting,0.0
338,officer,0.0
339,pursuant,0.0
340,5,0.0
341,recognized,0.0
342,state,0.0
343,under,0.0
344,invaluable,0.0
345,officers,0.0
346,field,0.0
347,light,0.0
348,while,0.0
349,65th,0.0
350,stated,0.0
351,published,0.0
352,using,0.0
353,regarding,0.0
354,legal,0.0
355,sentence,0.0
356,firearms,0.0
357,dolan,0.0
358,could,0.0
359,commission,0.0
360,may,0.0
361,facts,0.0
362,charged,0.0
363,infliction,0.0
364,clear,0.0
365,hen,0.0
366,execution,0.0
367,known,0.0
368,0,0.0
369,appleton,0.0
370,cause,0.0
371,21st,0.0
372,1986,0.0
373,3,0.0
374,court,0.0
375,regrettable,0.0
376,any,0.0
377,when,0.0
378,have,0.0
379,make,0.0
380,committed,0.0
381,amended,0.0
382,failure,0.0
383,facility,0.0
384,describing,0.0
385,good,0.0
386,first,0.0
387,serious,0.0
388,malice,0.0
389,resistance,0.0
390,an,0.0
391,affecting,0.0
392,death,0.0
393,cellspacing,0.0
394,fey,0.0
395,10,0.0
396,our,0.0
397,s,0.0
398,individuals,0.0
399,identified,0.0
400,gregerson,0.0
401,held,0.0
402,attempting,0.0
403,human,0.0
404,for,0.0
405,harm,0.0
406,whether,0.0
407,involving,0.0
408,arrest,0.0
