,AgendaId,Agency,Room,Building,Address,City,State,ZipCode,Date,Cancelled,RevisedDate,ContactInformation,CommitteeType,Notes,Acronym,Name,Phone,Id,LongName
19,27242,House,House Hearing Rm E,John L. O'Brien Building,"Olympia, WA",Olympia,WA,98504,2017-03-17T10:00:00,false,2017-03-09T15:39:12.82,,House Full Committee,,SEIT,"State Government, Elections & Information Technology",,20903,"House State Government, Elections & Information Technology"
20,27257,Senate,Senate Hearing Rm 4,J.A. Cherberg Building,"Olympia, WA",Olympia,WA,98504,2017-03-14T10:00:00,false,2017-03-09T16:10:57.74,,Senate Full Committee,Possible executive session on bills heard in committee. Other business.,LAW,Law & Justice,,17548,Senate Law & Justice
21,27271,Senate,Senate Hearing Rm 3,J.A. Cherberg Building,"Olympia, WA",Olympia,WA,98504,2017-03-16T08:00:00,false,2017-03-09T16:21:30.213,,Senate Full Committee,Possible executive session on bills heard in committee. Other business.,HIE,Higher Education,,17558,Senate Higher Education
22,27254,Senate,Senate Hearing Rm 3,J.A. Cherberg Building,"Olympia, WA",Olympia,WA,98504,2017-03-14T08:00:00,false,2017-03-09T16:32:12.07,,Senate Full Committee,Possible executive session on bills heard in committee. Other business.,HIE,Higher Education,,17558,Senate Higher Education
23,27209,House,House Hearing Rm E,John L. O'Brien Building,"Olympia, WA",Olympia,WA,98504,2017-03-16T13:30:00,false,2017-03-10T08:03:45.907,,House Full Committee,,CDHT,"Community Development, Housing & Tribal Affairs",,17361,"House Community Development, Housing & Tribal Affairs"
24,27226,House,House Hearing Rm D,John L. O'Brien Building,"Olympia, WA",Olympia,WA,98504,2017-03-15T13:30:00,false,2017-03-10T08:25:42.363,,House Full Committee,,HE,Higher Education,,12168,House Higher Education
25,27273,Senate,Senate Hearing Rm 1,J.A. Cherberg Building,"Olympia, WA",Olympia,WA,98504,2017-03-16T08:00:00,false,2017-03-10T09:03:50.997,,Senate Full Committee,Possible executive session on bills heard in committee. Other business.,AWTE,"Agriculture, Water, Trade & Economic Development",,27460,"Senate Agriculture, Water, Trade & Economic Development"
26,27233,House,House Hearing Rm E,John L. O'Brien Building,"Olympia, WA",Olympia,WA,98504,2017-03-14T13:30:00,false,2017-03-10T13:03:51.803,--------,House Full Committee,,LAWS,Labor & Workplace Standards,,20902,House Labor & Workplace Standards
27,27238,House,House Hearing Rm D,John L. O'Brien Building,"Olympia, WA",Olympia,WA,98504,2017-03-14T13:30:00,false,2017-03-10T14:03:05.127,,House Full Committee,,PS,Public Safety,,17364,House Public Safety
28,27266,Senate,Senate Hearing Rm 4,J.A. Cherberg Building,"Olympia, WA",Olympia,WA,98504,2017-03-15T08:00:00,false,2017-03-10T14:55:26.05,,Senate Full Committee,Possible executive session on bills heard in committee. Other business.,LAW,Law & Justice,,17548,Senate Law & Justice
29,27274,Senate,Senate Hearing Rm 4,J.A. Cherberg Building,"Olympia, WA",Olympia,WA,98504,2017-03-16T10:00:00,false,2017-03-10T14:58:00.257,,Senate Full Committee,Possible executive session on bills heard in committee. Other business.,LAW,Law & Justice,,17548,Senate Law & Justice
30,27272,Senate,Senate Hearing Rm 2,J.A. Cherberg Building,"Olympia, WA",Olympia,WA,98504,2017-03-16T08:00:00,true,2017-03-10T15:09:39.74,,Senate Full Committee,,FI,Financial Institutions & Insurance,,12230,Senate Financial Institutions & Insurance
31,27261,Senate,Senate Hearing Rm 3,J.A. Cherberg Building,"Olympia, WA",Olympia,WA,98504,2017-03-14T13:30:00,false,2017-03-10T17:12:14.193,,Senate Full Committee,"Public testimony will not be taken on gubernatorial appointments, but written feedback can be provided to peter.lindgren@leg.wa.gov and any submissions received will be provided to members at the time of the hearing. Possible executive session on bills heard in committee. Other business.",NRP,Natural Resources & Parks,,17642,Senate Natural Resources & Parks
32,27276,Senate,Senate Hearing Rm 3,J.A. Cherberg Building,"Olympia, WA",Olympia,WA,98504,2017-03-16T13:30:00,false,2017-03-10T17:12:21.703,,Senate Full Committee,"Public testimony will not be taken on gubernatorial appointments, but written feedback can be provided to peter.lindgren@leg.wa.gov and any submissions received will be provided to members at the time of the hearing.  Possible executive session on bills heard in committee. Other business.",NRP,Natural Resources & Parks,,17642,Senate Natural Resources & Parks
33,27267,Senate,Senate Hearing Rm 4,J.A. Cherberg Building,"Olympia, WA",Olympia,WA,98504,2017-03-15T13:30:00,false,2017-03-13T11:38:22.453,,Senate Full Committee,Possible executive session on bills heard in committee. Other business.,CLS,"Commerce, Labor & Sports",,27461,"Senate Commerce, Labor & Sports"
34,27279,Senate,Senate Hearing Rm 4,J.A. Cherberg Building,"Olympia, WA",Olympia,WA,98504,2017-03-16T13:30:00,true,2017-03-13T11:38:53.493,,Senate Full Committee,,CLS,"Commerce, Labor & Sports",,27461,"Senate Commerce, Labor & Sports"
35,27252,Senate,Senate Hearing Rm 2,J.A. Cherberg Building,"Olympia, WA",Olympia,WA,98504,2017-03-13T13:30:00,false,2017-03-13T11:40:50.52,,Senate Full Committee,Other business.,HSMH,"Human Services, Mental Health & Housing",,20818,"Senate Human Services, Mental Health & Housing"
36,27249,House,House Hearing Rm B,John L. O'Brien Building,"Olympia, WA",Olympia,WA,98504,2017-03-16T15:30:00,false,2017-03-13T11:57:35.283,,House Full Committee,,TR,Transportation,,3532,House Transportation
37,27200,House,House Hearing Rm A,John L. O'Brien Building,"Olympia, WA",Olympia,WA,98504,2017-03-15T15:30:00,false,2017-03-13T13:21:04.7,(360) 786-7155,House Full Committee,,APP,Appropriations,,17366,House Appropriations
38,27198,House,House Hearing Rm A,John L. O'Brien Building,"Olympia, WA",Olympia,WA,98504,2017-03-16T15:30:00,true,2017-03-13T13:21:17.607,(360) 786-7155,House Full Committee,,APP,Appropriations,,17366,House Appropriations
39,27221,House,House Hearing Rm A,John L. O'Brien Building,"Olympia, WA",Olympia,WA,98504,2017-03-17T08:00:00,false,2017-03-13T14:13:38.997,(360) 786-7155,House Full Committee,,FIN,Finance,,1624,House Finance
40,27212,House,House Hearing Rm C,John L. O'Brien Building,"Olympia, WA",Olympia,WA,98504,2017-03-14T08:00:00,false,2017-03-13T14:58:45.423,,House Full Committee,,ELHS,Early Learning & Human Services,,15966,House Early Learning & Human Services
41,27214,House,House Hearing Rm C,John L. O'Brien Building,"Olympia, WA",Olympia,WA,98504,2017-03-15T13:30:00,false,2017-03-13T14:58:55.783,,House Full Committee,,ELHS,Early Learning & Human Services,,15966,House Early Learning & Human Services
42,27263,Senate,Senate Hearing Rm 4,J.A. Cherberg Building,"Olympia, WA",Olympia,WA,98504,2017-03-14T15:30:00,false,2017-03-13T15:46:02.797,,Senate Full Committee,Possible executive session on bills heard in committee. Other business.,WM,Ways & Means,,456,Senate Ways & Means
43,27222,House,House Hearing Rm A,John L. O'Brien Building,"Olympia, WA",Olympia,WA,98504,2017-03-14T15:30:00,false,2017-03-13T16:27:24.507,(360) 786-7155,House Full Committee,,FIN,Finance,,1624,House Finance
44,27265,Senate,Senate Hearing Rm 2,J.A. Cherberg Building,"Olympia, WA",Olympia,WA,98504,2017-03-15T08:00:00,false,2017-03-13T16:33:35.113,,Senate Full Committee,"If draft bills, proposed substitutes, or striking amendments are to be heard, they can be obtained from committee staff or on the committee's website, http://www.leg.wa.gov/Senate/Committees/SGOV/Pages/default.aspx, as soon as they are available.  Possible executive session on bills heard in committee. Other business.",SGOV,State Government,,27463,Senate State Government
45,27264,Senate,Senate Hearing Rm 1,J.A. Cherberg Building,"Olympia, WA",Olympia,WA,98504,2017-03-14T15:30:00,false,2017-03-14T07:42:11.433,,Senate Full Committee,,TRAN,Transportation,,438,Senate Transportation
46,27270,Senate,Senate Hearing Rm 1,J.A. Cherberg Building,"Olympia, WA",Olympia,WA,98504,2017-03-15T15:30:00,true,2017-03-14T07:42:18.967,,Senate Full Committee,,TRAN,Transportation,,438,Senate Transportation
47,27280,Senate,Senate Hearing Rm 1,J.A. Cherberg Building,"Olympia, WA",Olympia,WA,98504,2017-03-16T15:30:00,true,2017-03-14T08:09:50.96,,Senate Full Committee,,TRAN,Transportation,,438,Senate Transportation
48,27240,House,House Hearing Rm D,John L. O'Brien Building,"Olympia, WA",Olympia,WA,98504,2017-03-16T08:30:00,false,2017-03-14T10:22:25.417,,House Full Committee,,PS,Public Safety,,17364,House Public Safety
49,27262,Senate,Senate Hearing Rm 2,J.A. Cherberg Building,"Olympia, WA",Olympia,WA,98504,2017-03-14T13:30:00,false,2017-03-14T10:48:43.823,,Senate Full Committee,Other business.,HSMH,"Human Services, Mental Health & Housing",,20818,"Senate Human Services, Mental Health & Housing"
50,27196,House,House Hearing Rm B,John L. O'Brien Building,"Olympia, WA",Olympia,WA,98504,2017-03-15T08:00:00,false,2017-03-14T11:14:42.777,,House Full Committee,,AGNR,Agriculture & Natural Resources,,8221,House Agriculture & Natural Resources
51,27241,House,House Hearing Rm E,John L. O'Brien Building,"Olympia, WA",Olympia,WA,98504,2017-03-15T13:30:00,false,2017-03-14T11:25:24.02,,House Full Committee,,SEIT,"State Government, Elections & Information Technology",,20903,"House State Government, Elections & Information Technology"
52,27210,House,House Hearing Rm E,John L. O'Brien Building,"Olympia, WA",Olympia,WA,98504,2017-03-15T08:00:00,false,2017-03-14T14:36:53.807,,House Full Committee,,CDHT,"Community Development, Housing & Tribal Affairs",,17361,"House Community Development, Housing & Tribal Affairs"
53,27269,Senate,Senate Hearing Rm 4,J.A. Cherberg Building,"Olympia, WA",Olympia,WA,98504,2017-03-15T15:30:00,false,2017-03-14T17:17:56.317,,Senate Full Committee,"If draft bills, proposed substitutes, or striking amendments are to be heard, they can be obtained from committee staff or on the committee's website, http://www.leg.wa.gov/Senate/Committees/WM/Pages/default.aspx, as soon as they are available. Possible executive session on bills heard in committee. Other business.",WM,Ways & Means,,456,Senate Ways & Means
54,27227,House,House Hearing Rm D,John L. O'Brien Building,"Olympia, WA",Olympia,WA,98504,2017-03-17T10:00:00,true,2017-03-15T14:38:49.473,,House Full Committee,,HE,Higher Education,,12168,House Higher Education
55,27281,Senate,Senate Hearing Rm 4,J.A. Cherberg Building,"Olympia, WA",Olympia,WA,98504,2017-03-16T15:30:00,false,2017-03-16T09:06:18.37,,Senate Full Committee,"If draft bills, proposed substitutes, or striking amendments are to be heard, they can be obtained from committee staff or on the committee's website, http://www.leg.wa.gov/Senate/Committees/WM/Pages/default.aspx, as soon as they are available. Possible executive session on bills heard in committee. Other business.",WM,Ways & Means,,456,Senate Ways & Means
56,27292,House,House Hearing Rm B,John L. O'Brien Building,"Olympia, WA",Olympia,WA,98504,2017-03-21T15:30:00,false,2017-03-16T09:48:19.637,,House Full Committee,,CB,Capital Budget,,965,House Capital Budget
57,27344,Senate,Senate Hearing Rm 3,J.A. Cherberg Building,"Olympia, WA",Olympia,WA,98504,2017-03-23T13:30:00,false,2017-03-16T10:50:49.73,,Senate Full Committee,"Public testimony will not be taken on gubernatorial appointments, but written feedback can be provided to peter.lindgren@leg.wa.gov and any submissions received will be provided to members at the time of the hearing. Possible executive session on bills heard in committee. Other business.",NRP,Natural Resources & Parks,,17642,Senate Natural Resources & Parks
58,27339,House,House Hearing Rm D,John L. O'Brien Building,"Olympia, WA",Olympia,WA,98504,2017-03-21T08:00:00,false,2017-03-16T15:07:12.203,,House Full Committee,,HE,Higher Education,,12168,House Higher Education
59,27304,House,House Hearing Rm E,John L. O'Brien Building,"Olympia, WA",Olympia,WA,98504,2017-03-21T10:00:00,false,2017-03-16T15:22:59.883,,House Full Committee,,CDHT,"Community Development, Housing & Tribal Affairs",,17361,"House Community Development, Housing & Tribal Affairs"
60,27306,House,House Hearing Rm E,John L. O'Brien Building,"Olympia, WA",Olympia,WA,98504,2017-03-22T08:00:00,true,2017-03-16T15:25:05.767,,House Full Committee,,CDHT,"Community Development, Housing & Tribal Affairs",,17361,"House Community Development, Housing & Tribal Affairs"
61,27303,Senate,Senate Hearing Rm 3,J.A. Cherberg Building,"Olympia, WA",Olympia,WA,98504,2017-03-21T08:00:00,false,2017-03-16T17:02:51.12,,Senate Full Committee,Possible executive session on bills heard in committee. Other business.,HIE,Higher Education,,17558,Senate Higher Education
62,27355,House,House Hearing Rm E,John L. O'Brien Building,"Olympia, WA",Olympia,WA,98504,2017-03-20T13:30:00,true,2017-03-17T07:50:30.393,--------,House Full Committee,,LAWS,Labor & Workplace Standards,,20902,House Labor & Workplace Standards
63,27357,House,House Hearing Rm E,John L. O'Brien Building,"Olympia, WA",Olympia,WA,98504,2017-03-21T13:30:00,false,2017-03-17T08:07:35.703,--------,House Full Committee,,LAWS,Labor & Workplace Standards,,20902,House Labor & Workplace Standards
64,27368,House,House Hearing Rm C,John L. O'Brien Building,"Olympia, WA",Olympia,WA,98504,2017-03-21T10:00:00,false,2017-03-17T08:35:42.217,,House Full Committee,,TED,Technology & Economic Development,,17360,House Technology & Economic Development
65,27369,House,House Hearing Rm C,John L. O'Brien Building,"Olympia, WA",Olympia,WA,98504,2017-03-23T13:30:00,false,2017-03-17T08:40:54.053,,House Full Committee,,TED,Technology & Economic Development,,17360,House Technology & Economic Development
66,27352,House,House Hearing Rm A,John L. O'Brien Building,"Olympia, WA",Olympia,WA,98504,2017-03-22T08:00:00,false,2017-03-17T13:11:33.447,(360) 786-7155,House Full Committee,,JUDI,Judiciary,,902,House Judiciary
67,27349,Senate,Senate Hearing Rm 2,J.A. Cherberg Building,"Olympia, WA",Olympia,WA,98504,2017-03-23T13:30:00,false,2017-03-17T13:57:20.777,--------,Senate Full Committee,Possible executive session on bills heard in committee. Other business.,LGOV,Local Government,,27462,Senate Local Government
68,27321,House,House Hearing Rm B,John L. O'Brien Building,"Olympia, WA",Olympia,WA,98504,2017-03-21T13:30:00,false,2017-03-17T14:53:24.12,,House Full Committee,,ENVI,Environment,,15967,House Environment
69,27336,Senate,Senate Hearing Rm 3,J.A. Cherberg Building,"Olympia, WA",Olympia,WA,98504,2017-03-23T08:00:00,false,2017-03-17T15:13:57.527,,Senate Full Committee,Possible executive session on bills heard in committee. Other business.,HIE,Higher Education,,17558,Senate Higher Education
70,27341,Senate,Senate Hearing Rm 4,J.A. Cherberg Building,"Olympia, WA",Olympia,WA,98504,2017-03-23T10:00:00,false,2017-03-17T15:40:47.543,,Senate Full Committee,Possible executive session on bills heard in committee. Other business.,LAW,Law & Justice,,17548,Senate Law & Justice
71,27365,House,House Hearing Rm E,John L. O'Brien Building,"Olympia, WA",Olympia,WA,98504,2017-03-21T09:00:00,false,2017-03-17T16:35:57.613,,House Full Committee,,SEIT,"State Government, Elections & Information Technology",,20903,"House State Government, Elections & Information Technology"
72,27299,Senate,Senate Hearing Rm 4,J.A. Cherberg Building,"Olympia, WA",Olympia,WA,98504,2017-03-20T15:30:00,false,2017-03-19T14:36:33.797,,Senate Full Committee,"If draft bills, proposed substitutes, or striking amendments are to be heard, they can be obtained from committee staff or on the committee's website, http://www.leg.wa.gov/Senate/Committees/WM/Pages/default.aspx, as soon as they are available. Possible executive session on bills heard in committee. Other business.",WM,Ways & Means,,456,Senate Ways & Means
73,27310,Senate,Senate Hearing Rm 4,J.A. Cherberg Building,"Olympia, WA",Olympia,WA,98504,2017-03-21T10:00:00,false,2017-03-20T08:24:51.197,,Senate Full Committee,Possible executive session on bills heard in committee. Other business.,LAW,Law & Justice,,17548,Senate Law & Justice
74,27315,Senate,Senate Hearing Rm 1,J.A. Cherberg Building,"Olympia, WA",Olympia,WA,98504,2017-03-21T13:30:00,false,2017-03-20T11:33:49.467,,Senate Full Committee,Possible executive session on bills heard in committee. Other business.,EDU,Early Learning & K-12 Education,,12228,Senate Early Learning & K-12 Education
75,27347,Senate,Senate Hearing Rm 1,J.A. Cherberg Building,"Olympia, WA",Olympia,WA,98504,2017-03-23T13:30:00,false,2017-03-20T11:34:09.593,,Senate Full Committee,Possible executive session on bills heard in committee. Other business.,EDU,Early Learning & K-12 Education,,12228,Senate Early Learning & K-12 Education
76,27320,Senate,Senate Hearing Rm 1,J.A. Cherberg Building,"Olympia, WA",Olympia,WA,98504,2017-03-21T15:30:00,false,2017-03-20T11:41:04.78,,Senate Full Committee,The materials accompanying the Senate Transportation Committee Chair's Proposed 2017-2019 Transportation Budget are available electronically at http://leap.leg.wa.gov/leap/archives/index_budgetsp.asp and http://leg.wa.gov/Senate/Committees/TRAN/Pages/default.aspx.,TRAN,Transportation,,438,Senate Transportation
77,27287,House,House Hearing Rm A,John L. O'Brien Building,"Olympia, WA",Olympia,WA,98504,2017-03-22T15:30:00,true,2017-03-20T13:45:53.52,(360) 786-7155,House Full Committee,,APP,Appropriations,,17366,House Appropriations
78,27286,House,House Hearing Rm A,John L. O'Brien Building,"Olympia, WA",Olympia,WA,98504,2017-03-23T15:30:00,false,2017-03-20T13:54:18.227,(360) 786-7155,House Full Committee,,APP,Appropriations,,17366,House Appropriations
79,27308,House,House Hearing Rm C,John L. O'Brien Building,"Olympia, WA",Olympia,WA,98504,2017-03-22T13:30:00,false,2017-03-20T14:50:00.353,,House Full Committee,,ELHS,Early Learning & Human Services,,15966,House Early Learning & Human Services
80,27312,House,House Hearing Rm C,John L. O'Brien Building,"Olympia, WA",Olympia,WA,98504,2017-03-21T08:00:00,false,2017-03-20T14:59:50,,House Full Committee,,ELHS,Early Learning & Human Services,,15966,House Early Learning & Human Services
81,27311,Senate,Senate Hearing Rm 1,J.A. Cherberg Building,"Olympia, WA",Olympia,WA,98504,2017-03-21T10:00:00,false,2017-03-20T15:12:25.307,,Senate Full Committee,"If draft bills, proposed substitutes, or striking amendments are to be heard, they can be obtained from committee staff or on the committee's website, http://www.leg.wa.gov/Senate/Committees/EET/Pages/default.aspx, as soon as they are available. Possible executive session on bills heard in committee. Other business.",EET,"Energy, Environment & Telecommunications",,17641,"Senate Energy, Environment & Telecommunications"
82,27343,Senate,Senate Hearing Rm 1,J.A. Cherberg Building,"Olympia, WA",Olympia,WA,98504,2017-03-23T10:00:00,false,2017-03-20T15:13:45.22,,Senate Full Committee,Other business.,EET,"Energy, Environment & Telecommunications",,17641,"Senate Energy, Environment & Telecommunications"
83,27298,House,House Hearing Rm C,John L. O'Brien Building,"Olympia, WA",Olympia,WA,98504,2017-03-21T13:30:00,false,2017-03-20T15:44:51.363,,House Full Committee,,COG,Commerce & Gaming,,20900,House Commerce & Gaming
84,27334,Senate,Senate Hearing Rm 2,J.A. Cherberg Building,"Olympia, WA",Olympia,WA,98504,2017-03-23T08:00:00,false,2017-03-20T16:32:41.443,,Senate Full Committee,Possible executive session on bills heard in committee.  Other business.,FI,Financial Institutions & Insurance,,12230,Senate Financial Institutions & Insurance
85,27345,House,House Hearing Rm D,John L. O'Brien Building,"Olympia, WA",Olympia,WA,98504,2017-03-22T13:30:00,false,2017-03-21T10:09:49.493,,House Full Committee,,HE,Higher Education,,12168,House Higher Education
86,27316,Senate,Senate Hearing Rm 2,J.A. Cherberg Building,"Olympia, WA",Olympia,WA,98504,2017-03-21T13:30:00,false,2017-03-21T10:37:24.877,,Senate Full Committee,Possible executive session on bills heard in committee. Other business.,HSMH,"Human Services, Mental Health & Housing",,20818,"Senate Human Services, Mental Health & Housing"
87,27322,Senate,Senate Hearing Rm 4,J.A. Cherberg Building,"Olympia, WA",Olympia,WA,98504,2017-03-21T15:30:00,false,2017-03-21T11:17:39.73,,Senate Full Committee,"The Public Hearing on SB 5048 will be on the proposed substitute bill which will be available electronically at 10:00 a.m. on March 21, 2017 at  http://leap.leg.wa.gov/leap/archives/index_budgetsp.asp. If draft bills, proposed substitutes, or striking amendments are to be heard, they can be obtained from committee staff or on the committee's website, http://www.leg.wa.gov/Senate/Committees/WM/Pages/default.aspx, as soon as they are available.",WM,Ways & Means,,456,Senate Ways & Means
88,27364,House,House Hearing Rm E,John L. O'Brien Building,"Olympia, WA",Olympia,WA,98504,2017-03-22T13:30:00,false,2017-03-21T11:37:06.5,,House Full Committee,,SEIT,"State Government, Elections & Information Technology",,20903,"House State Government, Elections & Information Technology"
89,27323,Senate,Senate Hearing Rm 4,J.A. Cherberg Building,"Olympia, WA",Olympia,WA,98504,2017-03-22T08:00:00,false,2017-03-21T12:56:12.237,,Senate Full Committee,Other business.,LAW,Law & Justice,,17548,Senate Law & Justice
90,27360,House,House Hearing Rm D,John L. O'Brien Building,"Olympia, WA",Olympia,WA,98504,2017-03-22T08:30:00,false,2017-03-21T13:08:20.33,,House Full Committee,,LG,Local Government,,15971,House Local Government
91,27338,Senate,Senate Hearing Rm 1,J.A. Cherberg Building,"Olympia, WA",Olympia,WA,98504,2017-03-23T08:00:00,false,2017-03-21T14:14:56.46,,Senate Full Committee,"Public testimony will not be taken on gubernatorial appointments, but written feedback can be provided to Bryce.Knutzen@leg.wa.gov and any submissions received will be provided to members at the time of the hearing. Possible executive session on bills heard in committee. Other business.",AWTE,"Agriculture, Water, Trade & Economic Development",,27460,"Senate Agriculture, Water, Trade & Economic Development"
92,27370,House,House Hearing Rm B,John L. O'Brien Building,"Olympia, WA",Olympia,WA,98504,2017-03-22T15:30:00,false,2017-03-21T15:25:06.58,,House Full Committee,,TR,Transportation,,3532,House Transportation
93,27330,Senate,Senate Hearing Rm 2,J.A. Cherberg Building,"Olympia, WA",Olympia,WA,98504,2017-03-22T13:30:00,false,2017-03-21T15:47:23.39,,Senate Full Committee,Other business.,HSMH,"Human Services, Mental Health & Housing",,20818,"Senate Human Services, Mental Health & Housing"
94,27331,Senate,Senate Hearing Rm 1,J.A. Cherberg Building,"Olympia, WA",Olympia,WA,98504,2017-03-22T15:30:00,false,2017-03-21T18:09:26.14,,Senate Full Committee,,TRAN,Transportation,,438,Senate Transportation
95,27351,Senate,Senate Hearing Rm 1,J.A. Cherberg Building,"Olympia, WA",Olympia,WA,98504,2017-03-23T15:30:00,true,2017-03-22T09:26:36.297,,Senate Full Committee,,TRAN,Transportation,,438,Senate Transportation
96,27358,House,House Hearing Rm D,John L. O'Brien Building,"Olympia, WA",Olympia,WA,98504,2017-03-23T13:30:00,false,2017-03-22T09:38:05.347,,House Full Committee,,LG,Local Government,,15971,House Local Government
97,27333,Senate,Senate Hearing Rm 4,J.A. Cherberg Building,"Olympia, WA",Olympia,WA,98504,2017-03-22T15:30:00,false,2017-03-22T12:39:22.783,,Senate Full Committee,Possible executive session on bills heard in committee. Other business.,WM,Ways & Means,,456,Senate Ways & Means
98,27348,House,House Hearing Rm A,John L. O'Brien Building,"Olympia, WA",Olympia,WA,98504,2017-03-23T13:30:00,false,2017-03-22T13:50:15.13,(360) 786-7155,House Full Committee,,JUDI,Judiciary,,902,House Judiciary
